1508192,BEOGRAD,VOŽDOVAC,"03.01.2025,11:45",20.467815,44.790952,Sa poginulim,SN SA PEŠACIMA,"Prelazak pešaka zdesna, van raskrsnice, bez skretanja vozila",,,,,
1509548,BEOGRAD,VOŽDOVAC,"19.01.2025,05:22",20.481255,44.775918,Sa poginulim,SN SA PEŠACIMA,"Prelazak pešaka sleva, van raskrsnice , bez skretanja vozila",,,,,
1518118,BEOGRAD,VOŽDOVAC,"25.03.2025,01:30",20.555408,44.622382,Sa poginulim,SN SA JEDNIM VOZILOM,Nezgoda sa jednim vozilom – silazak sa kolovoza u krivini,,,,,
1519997,BEOGRAD,VOŽDOVAC,"07.04.2025,22:15",20.484932,44.781405,Sa poginulim,SN SA JEDNIM VOZILOM,Nezgoda sa jednim vozilom – silazak ulevo sa kolovoza na pravcu,,,,,
1522563,BEOGRAD,VOŽDOVAC,"25.04.2025,08:00",20.525272,44.715801,Sa poginulim,SN SA PARKIRANIM VOZILIMA,Sudar sa parkiranim vozilom sa leve strane kolovoza,,,,,
1521819,BEOGRAD,VOŽDOVAC,"25.04.2025,07:47",20.52572,44.715613,Sa poginulim,SN SA JEDNIM VOZILOM,Nezgoda sa jednim vozilom – silazak udesno sa kolovoza na pravcu,,,,,
1522563,BEOGRAD,VOŽDOVAC,"25.04.2025,08:00",20.525272,44.715801,Sa poginulim,SN SA PEŠACIMA,Pešak stoji na kolovozu,,,,,
1525047,BEOGRAD,VOŽDOVAC,"17.05.2025,22:15",20.48509,44.78293,Sa poginulim,SN SA PEŠACIMA,"Prelazak pešaka zdesna, van raskrsnice, bez skretanja vozila",,,,,
1527944,BEOGRAD,VOŽDOVAC,"06.06.2025,13:40",20.555328,44.618809,Sa poginulim,SN SA JEDNIM VOZILOM,Nezgoda sa jednim vozilom na kolovozu,,,,,
1530550,BEOGRAD,VOŽDOVAC,"28.06.2025,21:20",20.5006,44.7765,Sa poginulim,SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK,Ostale nezgode sa najmanje dva vozila koja se kre?u istim putem u suprotnim smerovima uz skretanje,,,,,
1533674,BEOGRAD,VOŽDOVAC,"17.07.2025,13:30",20.543379,44.736502,Sa poginulim,SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA,Najmanje dva vozila koja se kre?u u istom smeru – sustizanje,,,,,
1511238,BEOGRAD,VRA?AR,"29.01.2025,18:45",20.465303,44.795641,Sa poginulim,SN SA PEŠACIMA,"Prelazak pešaka sleva, van raskrsnice , bez skretanja vozila",,,,,
1511352,BEOGRAD,VRA?AR,"03.02.2025,06:23",20.478406,44.793415,Sa poginulim,SN SA PEŠACIMA,"Prelazak pešaka sleva, u raskrsnici, bez skretanja vozila",,,,,
1512161,BEOGRAD,ZEMUN,"07.02.2025,07:00",20.193328,44.848832,Sa poginulim,SN SA PEŠACIMA,Pešak stoji na kolovozu,,,,,
1525922,BEOGRAD,ZEMUN,"18.05.2025,21:15",20.212944,44.88337,Sa poginulim,SN SA PEŠACIMA,Pešak se kre?e duž kolovoza u smeru kretanja vozila,,,,,
1526957,BEOGRAD,ZEMUN,"28.05.2025,11:20",20.246574,44.925554,Sa poginulim,SN SA JEDNIM VOZILOM,Nezgoda sa jednim vozilom – silazak sa kolovoza u krivini,,,,,
1528120,BEOGRAD,ZEMUN,"08.06.2025,19:20",20.2051,44.8578,Sa poginulim,SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA,Najmanje dva vozila koja se kre?u u istom smeru – uklju?ivanje u saobra?aj,,,,,
1534756,BEOGRAD,ZEMUN,"26.07.2025,18:45",20.281541,44.902219,Sa poginulim,SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK,"Najmanje dva vozila koja se kre?u razli?itim putevima uz prolazak kroz raskrsnicu, ili od kojih jedno prelazi preko kolovoza, bez skretanja",,,,,
1519951,BEOGRAD,ZVEZDARA,"09.04.2025,15:40",20.517791,44.792127,Sa poginulim,SN SA PEŠACIMA,"Prelazak pešaka preko kolovoza, u raskrsnici, bez skretanja vozila",,,,,
1521410,BEOGRAD,ZVEZDARA,"21.04.2025,10:10",20.493448,44.797802,Sa poginulim,SN SA PEŠACIMA,"Prelazak pešaka zdesna, sa skretanjem vozila udesno, u raskrsnici",,,,,
1510495,BEOGRAD,?UKARICA,"27.01.2025,06:15",20.317989,44.706926,Sa poginulim,SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK,Najmanje dva vozila koja se kre?u istim putem u suprotnim smerovima uz skretanje ulevo ispred drugog vozila,,,,,
1518796,BEOGRAD,?UKARICA,"01.04.2025,09:30",20.414046,44.754105,Sa poginulim,SN SA PEŠACIMA,"Prelazak pešaka zdesna , u raskrsnici, bez skretanja vozila",,,,,
1527312,BEOGRAD,?UKARICA,"31.05.2025,23:55",20.426394,44.684634,Sa poginulim,SN SA PEŠACIMA,"Prelazak pešaka zdesna, van raskrsnice, bez skretanja vozila",,,,,
1532123,BEOGRAD,?UKARICA,"08.07.2025,14:45",20.4299395,44.7842302,Sa poginulim,SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA,Ostale nezgode sa najmanje dva vozila – suprotni smerovi bez skretanja,,,,,
1510379,BOR,BOR,"25.01.2025,20:45",22.174012,43.999089,Sa poginulim,SN SA JEDNIM VOZILOM,Nezgoda sa jednim vozilom – silazak sa kolovoza u krivini,,,,,
1513162,BOR,BOR,"17.02.2025,10:10",22.052321,44.273452,Sa poginulim,SN SA JEDNIM VOZILOM,Nezgoda sa jednim vozilom – silazak ulevo sa kolovoza na pravcu,,,,,
1517841,BOR,KLADOVO,"25.03.2025,07:35",22.571737,44.5929,Sa poginulim,SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA,Najmanje dva vozila – ?eoni sudar,,,,,
1518734,BOR,KLADOVO,"31.03.2025,01:30",22.430728,44.705991,Sa poginulim,SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA,Najmanje dva vozila – ?eoni sudar,,,,,
1530621,BOR,MAJDANPEK,"28.06.2025,17:30",22.00135,44.36909,Sa poginulim,SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA,Najmanje dva vozila – ?eoni sudar,,,,,
1530815,BOR,MAJDANPEK,"29.06.2025,16:30",21.965921,44.399091,Sa poginulim,SN SA JEDNIM VOZILOM,Nezgoda sa jednim vozilom – silazak ulevo sa kolovoza na pravcu,,,,,
1509886,BOR,NEGOTIN,"14.01.2025,20:20",22.528264,44.228141,Sa poginulim,SN SA JEDNIM VOZILOM,Nezgoda sa jednim vozilom – silazak udesno sa kolovoza na pravcu,,,,,
1510394,BOR,NEGOTIN,"20.01.2025,14:15",22.487043,44.466295,Sa poginulim,SN SA JEDNIM VOZILOM,Nezgoda sa jednim vozilom – silazak udesno sa kolovoza na pravcu,,,,,
1527045,BOR,NEGOTIN,"28.05.2025,10:50",22.3834852,44.3503219,Sa poginulim,SN SA PEŠACIMA,"Pešak stoji ili se kre?e, sa kretanjem vozila unazad",,,,,
1535233,BOR,NEGOTIN,"18.07.2025,18:10",22.5084386,44.2755615,Sa poginulim,SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA,Najmanje dva vozila – ?eoni sudar,,,,,
1533857,JAGODINA,JAGODINA,"20.07.2025,06:30",21.241975,44.044998,Sa poginulim,SN SA JEDNIM VOZILOM,Nezgoda sa jednim vozilom – silazak udesno sa kolovoza na pravcu,,,,,
