1238045,BEOGRAD,LAZAREVAC,"07.12.2018,16:35",20.30079,44.544749,Sa poginulim,SN SA PEŠACIMA,"Prelazak pešaka sleva, van raskrsnice , bez skretanja vozila"
1204899,BEOGRAD,MLADENOVAC,"13.01.2018,17:45",20.67746,44.41117,Sa poginulim,SN SA PEŠACIMA,"Prelazak pešaka sleva, van raskrsnice , bez skretanja vozila"
1213308,BEOGRAD,MLADENOVAC,"10.04.2018,14:30",20.759392,44.462322,Sa poginulim,SN SA JEDNIM VOZILOM,Nezgoda sa jednim vozilom – silazak sa kolovoza u krivini
1222883,BEOGRAD,MLADENOVAC,"15.07.2018,10:50",20.65592,44.5009,Sa poginulim,SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA,Najmanje dva vozila – ?eoni sudar
1226876,BEOGRAD,MLADENOVAC,"25.08.2018,14:20",20.6651,44.47227,Sa poginulim,SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK,"Najmanje dva vozila koja se kre?u istim putem u istom smeru uz skretanje, polukružno okretanje ispred drugog vozila"
1235396,BEOGRAD,MLADENOVAC,"11.11.2018,22:30",20.60956,44.43224,Sa poginulim,SN SA JEDNIM VOZILOM,Nezgoda sa jednim vozilom – silazak udesno sa kolovoza na pravcu
1204151,BEOGRAD,NOVI BEOGRAD,"03.01.2018,22:35",20.40909,44.81952,Sa poginulim,SN SA PEŠACIMA,Pešak stoji na kolovozu
1204167,BEOGRAD,NOVI BEOGRAD,"06.01.2018,04:30",20.40924,44.834755,Sa poginulim,SN SA JEDNIM VOZILOM,Nezgoda sa jednim vozilom – silazak udesno sa kolovoza na pravcu
1207414,BEOGRAD,NOVI BEOGRAD,"08.02.2018,12:50",20.3755,44.799734,Sa poginulim,SN SA PEŠACIMA,"Prelazak pešaka zdesna, van raskrsnice, bez skretanja vozila"
1217626,BEOGRAD,NOVI BEOGRAD,"22.05.2018,17:50",20.37994,44.80146,Sa poginulim,SN SA PEŠACIMA,"Prelazak pešaka zdesna, van raskrsnice, bez skretanja vozila"
1217748,BEOGRAD,NOVI BEOGRAD,"26.05.2018,09:35",20.41768,44.8059,Sa poginulim,SN SA PEŠACIMA,"Prelazak pešaka sleva, van raskrsnice , bez skretanja vozila"
1220951,BEOGRAD,NOVI BEOGRAD,"24.06.2018,00:05",20.406995,44.813938,Sa poginulim,SN SA PEŠACIMA,Pešak – ostale situacije
1222383,BEOGRAD,NOVI BEOGRAD,"10.07.2018,23:35",20.398034,44.826376,Sa poginulim,SN SA PEŠACIMA,"Prelazak pešaka sleva, u raskrsnici, bez skretanja vozila"
1227808,BEOGRAD,NOVI BEOGRAD,"26.08.2018,04:20",20.41407,44.80704,Sa poginulim,SN SA PEŠACIMA,Pešak se kre?e duž kolovoza ili stoji na kolovozu
1227675,BEOGRAD,NOVI BEOGRAD,"31.08.2018,15:45",20.365301,44.804795,Sa poginulim,SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA,Najmanje dva vozila koja se kre?u u istom smeru – preticanje
1231118,BEOGRAD,NOVI BEOGRAD,"07.09.2018,22:00",20.35992,44.80765,Sa poginulim,SN SA JEDNIM VOZILOM,Nezgoda sa jednim vozilom na kolovozu
1238326,BEOGRAD,NOVI BEOGRAD,"10.12.2018,11:20",20.41044,44.82123,Sa poginulim,SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK,"Najmanje dva vozila koja se kre?u razli?itim putevima uz prolazak kroz raskrsnicu, ili od kojih jedno prelazi preko kolovoza, bez skretanja"
1241130,BEOGRAD,NOVI BEOGRAD,"26.12.2018,07:15",20.42716,44.81425,Sa poginulim,SN SA PEŠACIMA,"Prelazak pešaka zdesna, van raskrsnice, bez skretanja vozila"
1207328,BEOGRAD,OBRENOVAC,"07.02.2018,07:05",20.043709,44.676632,Sa poginulim,SN SA JEDNIM VOZILOM,Nezgoda sa jednim vozilom – silazak udesno sa kolovoza na pravcu
1223183,BEOGRAD,OBRENOVAC,"15.07.2018,15:20",20.10289,44.61458,Sa poginulim,SN SA JEDNIM VOZILOM,Nezgoda sa jednim vozilom – silazak ulevo sa kolovoza na pravcu
1222885,BEOGRAD,OBRENOVAC,"15.07.2018,20:25",20.18527,44.54756,Sa poginulim,SN SA JEDNIM VOZILOM,Nezgoda sa jednim vozilom – silazak sa kolovoza u krivini
1227378,BEOGRAD,OBRENOVAC,"17.08.2018,08:45",20.22304,44.59776,Sa poginulim,SN SA JEDNIM VOZILOM,"Nezgoda sa jednim vozilom bez prepreka na kolovozu na nepoznat, nespecificiran na?in"
1204730,BEOGRAD,PALILULA,"13.01.2018,04:30",20.40086,44.88547,Sa poginulim,SN SA JEDNIM VOZILOM,Nezgoda sa jednim vozilom – silazak ulevo sa kolovoza na pravcu
1207600,BEOGRAD,PALILULA,"03.02.2018,10:00",20.45124,44.85659,Sa poginulim,SN SA JEDNIM VOZILOM,Nezgoda sa jednim vozilom – silazak sa kolovoza u krivini
1209564,BEOGRAD,PALILULA,"03.03.2018,01:30",20.437782,44.9319,Sa poginulim,SN SA PEŠACIMA,Pešak se kre?e duž kolovoza u smeru kretanja vozila
1218723,BEOGRAD,PALILULA,"03.06.2018,08:50",20.51833,44.88567,Sa poginulim,SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK,"Najmanje dva vozila koja se kre?u razli?itim putevima uz prolazak kroz raskrsnicu, ili od kojih jedno prelazi preko kolovoza, bez skretanja"
1219557,BEOGRAD,PALILULA,"07.06.2018,14:00",20.46279,44.88464,Sa poginulim,SN SA PEŠACIMA,Pešak se kre?e duž kolovoza u smeru kretanja vozila
1231191,BEOGRAD,PALILULA,"03.10.2018,14:30",20.490579,44.819232,Sa poginulim,SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK,"Najmanje dva vozila koja se kre?u razli?itim putevima uz prolazak kroz raskrsnicu, ili od kojih jedno prelazi preko kolovoza, bez skretanja"
1236708,BEOGRAD,PALILULA,"23.11.2018,03:03",20.51999,44.8175,Sa poginulim,SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK,Najmanje dva vozila koja se kre?u istim putem u suprotnim smerovima uz skretanje ulevo ispred drugog vozila
1238540,BEOGRAD,PALILULA,"04.12.2018,10:15",20.48018,44.81735,Sa poginulim,SN SA PEŠACIMA,"Prelazak pešaka zdesna, sa skretanjem vozila udesno, u raskrsnici"
1231696,BEOGRAD,RAKOVICA,"08.10.2018,21:25",20.41395,44.70721,Sa poginulim,SN SA PEŠACIMA,"Prelazak pešaka zdesna, van raskrsnice, bez skretanja vozila"
1232442,BEOGRAD,RAKOVICA,"12.10.2018,17:35",20.456227,44.71239,Sa poginulim,SN SA JEDNIM VOZILOM,Nezgoda sa jednim vozilom na kolovozu
1211231,BEOGRAD,SAVSKI VENAC,"18.03.2018,17:50",20.42805,44.79264,Sa poginulim,SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA,Ostali sudari sa najmanje dva vozila koja se kre?u u istom smeru – ostalo
1213540,BEOGRAD,SAVSKI VENAC,"11.04.2018,19:15",20.453089,44.810687,Sa poginulim,SN SA PEŠACIMA,"Prelazak pešaka zdesna, van raskrsnice, bez skretanja vozila"
1221863,BEOGRAD,SAVSKI VENAC,"05.07.2018,05:00",20.457935,44.795518,Sa poginulim,SN SA PEŠACIMA,"Prelazak pešaka zdesna, van raskrsnice, bez skretanja vozila"
1222775,BEOGRAD,SAVSKI VENAC,"12.07.2018,23:30",20.45482,44.81062,Sa poginulim,SN SA PEŠACIMA,"Prelazak pešaka sleva, sa skretanjem vozila udesno, u raskrsnici"
1226708,BEOGRAD,SAVSKI VENAC,"20.08.2018,16:20",20.44683,44.78067,Sa poginulim,SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK,"Najmanje dva vozila koja se kre?u istim putem u istom smeru uz skretanje, skretanje ulevo ispred drugog vozila"
1218796,BEOGRAD,SOPOT,"26.05.2018,18:30",20.57199,44.6109,Sa poginulim,SN SA PARKIRANIM VOZILIMA,Sudar sa parkiranim vozilom sa desne strane kolovoza
1235419,BEOGRAD,SOPOT,"26.10.2018,16:00",20.59395465,44.61180391,Sa poginulim,SN SA JEDNIM VOZILOM,Nezgoda sa jednim vozilom – silazak udesno sa kolovoza na pravcu
1224782,BEOGRAD,STARI GRAD,"04.08.2018,09:30",20.46242,44.81424,Sa poginulim,SN SA PEŠACIMA,"Pešak stoji ili se kre?e, sa kretanjem vozila unazad"
1207124,BEOGRAD,SUR?IN,"06.02.2018,10:00",20.30829,44.7482,Sa poginulim,SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA,Najmanje dva vozila – ?eoni sudar
1216789,BEOGRAD,SUR?IN,"15.05.2018,20:30",20.15963,44.74358,Sa poginulim,SN SA JEDNIM VOZILOM,Nezgoda sa jednim vozilom i prevrtanjem
1217524,BEOGRAD,SUR?IN,"24.05.2018,03:40",20.25247,44.83585,Sa poginulim,SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA,Najmanje dva vozila koja se kre?u u istom smeru – sustizanje
